epoch,lr-AdamW,step,train/loss
,4.199999999999999e-05,4,
,4.199999999999999e-05,4,
,4.199999999999999e-05,4,
,4.199999999999999e-05,4,
,4.199999999999999e-05,4,
,4.199999999999999e-05,4,
,4.199999999999999e-05,4,
,4.199999999999999e-05,4,
0,,4,10.396669387817383
,7.575e-05,9,
,7.575e-05,9,
,7.575e-05,9,
,7.575e-05,9,
,7.575e-05,9,
,7.575e-05,9,
,7.575e-05,9,
,7.575e-05,9,
0,,9,10.06155776977539
,0.0001095,14,
,0.0001095,14,
,0.0001095,14,
,0.0001095,14,
,0.0001095,14,
,0.0001095,14,
,0.0001095,14,
